cnpj_basico,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_no_exterior,pais,data_inicio_atividade,cnae_principal,cnae_secundario,logradouro_tipo,logradouro_nome,logradouro_numero,logradouro_complemento,logradouro_bairro,logradouro_cep,logradouro_uf,logradouro_cod_municipio,ddd1,telefone1,ddd2,telefone2,ddd_fax,fax,email,situacao_especial,data_situacao_especial
53045332,0001,59,1,,08,19881020,01,,,19831124,4774100,,RUA,VICENTE LA GIUDICE,115,,JD ARICANDUVA,03455040,SP,7107,,,,,,,,,
37178778,0001,03,1,,02,20200519,00,,,20200519,8011101,"8020001,8111700,8130300",RUA,DEOLINDA RODRIGUES,214,,JARDIM ESTER,05372100,SP,7107,11,23068785,,,,,JUAREZ@D3ASSESSORIA.COM.BR,,
29674559,0001,89,1,GUI DEL FRATE,04,20210324,63,,,20180213,9329899,,RUA,LUIS GOIS,1694,,MIRANDOPOLIS,04043200,SP,7107,11,22756665,,,,,contato@guidelfrate.com.br,,
29053254,0001,50,1,FLAVINHO&DORI ROUPAS E TENEIS,04,20210324,63,,,20171111,4781400,,RUA,HIRAN LEITE DE ABREU,37,,JARDIM VILA CARRAO,08340200,SP,7107,11,27511897,,,,,dotor.dourival@hotmail.com,,
28067267,0001,15,1,,02,20170629,00,,,20170629,4930202,5212500,RUA,FRANCESCO TESSARIN,412,CASA 412B,RECANTO VERDE DO SOL,08382240,SP,7107,11,20156281,,,,,JS3734876@GMAIL.COM,,
28182148,0001,03,1,,04,20210305,63,,,20170217,8550302,"8511200,8800600,9493600",RUA,INACIO MOREIRA,120,,JARDIM SOARES,08460300,SP,7107,11,29253400,,,,,WWW.ELIONCONTABILIDADE.COM.BR,,
07052110,0001,46,1,V M CONFECCOES,04,20181016,63,,,20041014,4781400,,RUA,JULIAO AFONSO SERRA,54,,JD FIGUEIRA VERDE,04914020,SP,7107,,,,,,,,,
32988598,0001,65,1,,02,20190311,00,,,20190311,6463800,,RUA,CORREIA DE MELO,39,LOJA  55,BOM RETIRO,01123020,SP,7107,13,32239190,,,,,FERNANDO.GREGORIO@UNACOMEX.COM.BR,,
18727991,0001,74,1,,04,20181016,63,,,20130822,4754701,,RUA,CONDESSA DE PINHAL,84,LOJA: 01 - FRENTE;,PARQUE COLONIAL,04610060,SP,7107,11,77133864,11,50936348,11,50936348,CONTABILNRUMO@UOL.COM.BR,,
01528456,0001,91,1,CONDOMINIO EDIFICIO STEPHANIE,02,19980728,00,,,19961111,8112500,,ALAMEDA,FRANCA,729,,JARDIM PAULISTA,01422001,SP,7107,,,,,,,,,
09349447,0001,45,1,ADRIAN ASSESSORIA EMPRESARIAL,04,20181016,63,,,20071123,8020001,8299799,RUA,MINISTRO JOSE HUGO CASTELO BRANCO,174,,PARQUE RESIDENCIAL COCAIA,04849100,SP,7107,11,30460555,,,,,dom123@uol.com.br,,
68129162,0001,68,1,,08,20081231,71,,,19920622,4530701,,AVENIDA,DUQUE DE CAXIAS,803,,SANTA EFIGENIA,01214100,SP,7107,,,,,,,,,
35525780,0001,78,1,NP ELETRICA,02,20191115,00,,,20191115,4321500,,AVENIDA,MARECHAL EURICO GASPAR DUTRA,1770,,SANTANA,02239010,SP,7107,11,73466877,,,,,NIELSONPINHEIRO33@GMAIL.COM,,
10757296,0001,43,1,GMJ COMERCIO DE JOIAS LTDA,04,20181004,63,,,20090403,4783101,,RUA,DANIEL VIEIRA,381,,GUACA,02434000,SP,7107,11,29823433,,,,,VENTURACONTABI@MSN.COM,,
42846283,0001,37,1,,02,20210723,00,,,20210723,9001906,"5911199,5920100,7420001,7490105,7729202,8599604,9003500",AVENIDA,DIOGO GOMES CARNEIRO,500,CASA  37 A,JARDIM ROSA MARIA,05547030,SP,7107,11,43304664,,,,,LEGAL@GRUPOCAOM.COM.BR,,
53693818,0001,01,1,,08,20081231,71,,,19840809,4774100,,RUA,IMPERIAL,112,,VL BUENOS AIRES,03737010,SP,7107,,,,,,,,,
41347397,0001,70,1,SUHAI HORTIFRUTI,02,20210325,00,,,20210325,4724500,"4712100,5611203",RUA,JUVENTUS,337,LOJA  10,PARQUE DA MOOCA,03124020,SP,7107,11,32098933,,,,,PARALEGAL@MOCONTABIL.COM.BR,,
18549852,0001,06,1,DAO CONSTRUCOES,08,20230314,01,,,20130724,4399103,"4330405,4330404,4322301",ESTRADA,DAS LAGRIMAS,457,,IPIRANGA,04232000,SP,7107,11,29146922,,,,,seletoscontabilidade@uol.com,,
15112326,0001,88,1,JC SERVICES,02,20120229,00,,,20120229,9511800,"4330405,4330404,4322301,6190699,4321500,4399103",RUA,MANUEL ALGANTE,59,,VILA JOAO BATISTA,02837010,SP,7107,11,95908184,,,,,charlessmith22@msn.com,,
67988725,0001,00,1,,08,19921022,01,,,19920623,7490101,,RUA,DOS OTONIS,897,,VILA CLEMENTINO,04025010,SP,7107,,,,,,,,,
62422506,0001,46,1,PONTO DE OURO,08,20081231,71,,,19700615,5611203,,ALAMEDA,PSGTO BASILIO NOG COSTA,317,,PRQ NOVO MUNDO,08210040,SP,7107,,,,,,,,,
